elapsed_sec,predicted,ground_truth,confidence,latency_ms,matched
5.27,left_hand,,0.9804,11.057,
6.2,left_hand,,0.9725,4.71,
6.62,left_hand,,0.8262,4.322,
7.03,left_hand,right_hand,0.7591,4.798,
7.44,left_hand,right_hand,0.6481,4.632,
7.86,left_hand,right_hand,0.5596,5.105,
8.27,left_hand,right_hand,0.5342,5.072,
8.68,right_hand,right_hand,0.4777,4.56,
9.1,right_hand,right_hand,0.596,4.983,True
9.51,right_hand,right_hand,0.6713,3.147,True
9.92,right_hand,right_hand,0.766,5.049,True
10.38,right_hand,right_hand,0.9234,4.989,True
10.84,right_hand,right_hand,0.9512,4.539,True
11.29,right_hand,right_hand,0.9142,5.004,True
11.75,right_hand,right_hand,0.918,4.838,True
12.2,right_hand,right_hand,0.9284,4.607,True
12.65,right_hand,right_hand,0.9269,6.059,True
13.1,right_hand,right_hand,0.8228,5.649,
13.56,right_hand,right_hand,0.6736,5.261,
14.01,right_hand,right_hand,0.4836,3.039,
14.46,left_hand,right_hand,0.6543,4.647,
15.0,left_hand,right_hand,0.649,4.712,
15.45,left_hand,right_hand,0.5577,5.299,
15.91,,right_hand,0.3782,4.809,
16.36,tongue,right_hand,0.4224,4.582,
16.79,tongue,right_hand,0.4328,4.777,False
17.25,right_hand,right_hand,0.5168,4.888,True
17.7,right_hand,right_hand,0.7083,4.96,True
18.15,right_hand,right_hand,0.8588,4.56,True
18.59,right_hand,right_hand,0.9812,4.738,True
19.05,right_hand,right_hand,0.9597,3.877,True
19.5,right_hand,right_hand,0.9377,4.771,True
19.94,right_hand,right_hand,0.9376,4.942,True
20.39,right_hand,right_hand,0.9349,4.658,True
20.84,right_hand,right_hand,0.9339,5.019,
21.29,right_hand,right_hand,0.9575,5.619,
21.74,right_hand,right_hand,0.936,5.187,
22.19,right_hand,right_hand,0.7399,4.87,
22.64,right_hand,left_hand,0.5432,5.674,
23.09,tongue,left_hand,0.4156,5.21,
23.54,tongue,left_hand,0.4979,4.375,
24.1,tongue,left_hand,0.664,5.134,
24.55,tongue,left_hand,0.6782,5.74,False
25.0,tongue,left_hand,0.6824,4.876,False
25.46,tongue,left_hand,0.6372,4.126,False
25.9,tongue,left_hand,0.5536,1.855,False
26.35,left_hand,left_hand,0.5926,5.052,True
26.79,left_hand,left_hand,0.775,4.202,True
27.24,left_hand,left_hand,0.9723,4.068,True
27.68,left_hand,left_hand,0.9807,5.583,True
28.14,left_hand,left_hand,0.9504,3.625,True
28.58,left_hand,left_hand,0.8894,6.166,
29.04,left_hand,left_hand,0.8352,5.021,
29.5,left_hand,left_hand,0.6469,5.334,
29.95,left_hand,left_hand,0.4603,5.325,
30.41,feet,right_hand,0.4595,5.409,
30.86,feet,right_hand,0.469,5.303,
31.31,feet,right_hand,0.4303,3.247,
31.8,right_hand,right_hand,0.5062,1.965,
32.26,right_hand,right_hand,0.6892,4.601,
32.71,right_hand,right_hand,0.7485,5.401,True
33.26,right_hand,right_hand,0.8123,5.268,True
33.71,right_hand,right_hand,0.9479,5.377,True
34.16,right_hand,right_hand,0.9791,4.293,True
34.61,right_hand,right_hand,0.9692,3.226,True
35.06,right_hand,right_hand,0.8565,4.703,True
35.51,right_hand,right_hand,0.846,5.766,True
35.96,right_hand,right_hand,0.8023,4.469,True
36.41,right_hand,right_hand,0.6353,4.973,
36.87,left_hand,right_hand,0.5164,4.542,
37.33,left_hand,right_hand,0.5175,3.084,
37.79,left_hand,right_hand,0.5404,3.092,
38.24,left_hand,right_hand,0.5695,5.163,
38.69,left_hand,right_hand,0.4164,4.705,
39.14,,left_hand,0.3459,3.763,
39.59,,left_hand,0.3583,2.988,
40.04,,left_hand,0.3699,3.504,
40.49,right_hand,left_hand,0.51,3.039,
40.94,right_hand,left_hand,0.5994,4.677,False
41.39,right_hand,left_hand,0.5438,3.433,False
41.85,right_hand,left_hand,0.4587,3.579,False
42.42,left_hand,left_hand,0.5232,3.323,True
42.87,left_hand,left_hand,0.7142,3.802,True
43.31,left_hand,left_hand,0.8752,5.399,True
43.76,left_hand,left_hand,0.9706,2.772,True
44.21,left_hand,left_hand,0.9685,4.251,True
44.67,left_hand,left_hand,0.942,3.964,True
45.11,left_hand,left_hand,0.9186,5.044,
45.56,left_hand,left_hand,0.7462,3.951,
46.02,left_hand,left_hand,0.5668,3.926,
46.47,feet,left_hand,0.4335,1.786,
46.93,feet,right_hand,0.4146,4.776,
47.37,tongue,right_hand,0.5743,2.673,
47.83,tongue,right_hand,0.7481,4.951,
48.29,tongue,right_hand,0.9087,4.183,
48.74,tongue,right_hand,0.9946,3.778,False
49.2,tongue,right_hand,0.9895,4.121,False
49.65,tongue,right_hand,0.9401,3.587,False
50.1,tongue,right_hand,0.7436,4.786,False
50.54,tongue,right_hand,0.5438,2.952,False
50.98,right_hand,right_hand,0.5367,4.204,True
51.53,right_hand,right_hand,0.687,3.193,True
51.99,right_hand,right_hand,0.7544,5.494,True
52.42,right_hand,right_hand,0.7228,3.399,True
52.86,right_hand,right_hand,0.5627,4.976,
53.31,left_hand,right_hand,0.4898,4.903,
53.77,left_hand,right_hand,0.6414,4.31,
54.22,left_hand,right_hand,0.6903,4.579,
54.68,left_hand,right_hand,0.6612,4.158,
55.13,left_hand,feet,0.5627,6.235,
55.58,left_hand,feet,0.4729,3.105,
56.04,tongue,feet,0.6178,4.309,
56.48,tongue,feet,0.6082,2.929,
56.95,tongue,feet,0.6472,3.401,False
57.4,tongue,feet,0.511,4.449,False
57.85,tongue,feet,0.4279,4.237,False
58.31,left_hand,feet,0.4168,3.557,False
58.75,,feet,0.3949,2.696,
59.2,,feet,0.3962,4.662,
59.65,tongue,feet,0.4795,4.795,False
60.1,tongue,feet,0.466,5.34,False
60.67,tongue,feet,0.4595,2.205,False
61.13,,feet,0.3946,3.646,
61.57,left_hand,feet,0.4127,1.953,
62.02,left_hand,feet,0.4571,5.645,
62.47,left_hand,right_hand,0.4711,5.297,
62.93,feet,right_hand,0.5055,4.658,
63.38,feet,right_hand,0.6512,4.571,
63.83,feet,right_hand,0.5479,5.234,
64.28,tongue,right_hand,0.4518,4.512,
64.74,tongue,right_hand,0.6122,2.967,False
65.19,tongue,right_hand,0.5997,3.235,False
65.64,tongue,right_hand,0.5759,4.36,False
66.09,right_hand,right_hand,0.6135,4.537,True
66.55,right_hand,right_hand,0.7823,4.947,True
67.01,right_hand,right_hand,0.7936,2.875,True
67.46,right_hand,right_hand,0.6239,3.074,True
67.92,left_hand,right_hand,0.5524,3.814,False
68.38,left_hand,right_hand,0.7487,3.027,False
68.84,left_hand,right_hand,0.9179,3.202,
69.3,left_hand,right_hand,0.956,4.244,
69.86,left_hand,right_hand,0.9614,4.433,
70.31,left_hand,right_hand,0.9675,4.827,
70.76,left_hand,tongue,0.9132,5.27,
