subject_id,n_train_trials,n_test_trials,best_val_acc,timestamp
1,288,288,0.7396,2026-07-28T23:52:13
2,288,288,0.5764,2026-07-28T23:53:16
3,288,288,0.8194,2026-07-28T23:54:19
4,288,288,0.5833,2026-07-28T23:55:18
5,288,288,0.3889,2026-07-28T23:56:52
6,288,288,0.3889,2026-07-28T23:58:16
7,288,288,0.6181,2026-07-28T23:59:39
8,288,288,0.7708,2026-07-29T00:00:47
9,288,288,0.7743,2026-07-29T00:02:13
1,230,58,288,0.8621,0.7188,2026-08-12T22:57:46
2,230,58,288,0.4138,0.2812,2026-08-12T22:58:18
3,230,58,288,0.8621,0.7153,2026-08-12T22:58:50
4,230,58,288,0.5345,0.5139,2026-08-12T22:59:22
5,230,58,288,0.5172,0.3611,2026-08-12T22:59:56
6,230,58,288,0.5,0.3819,2026-08-12T23:00:32
7,230,58,288,0.5345,0.3368,2026-08-12T23:01:07
8,230,58,288,0.7931,0.7326,2026-08-12T23:01:42
9,230,58,288,0.8103,0.7361,2026-08-12T23:02:22
1,refit_full_data,87,0.7743,2026-08-12T23:27:52
2,refit_full_data,11,0.309,2026-08-12T23:28:33
3,refit_full_data,53,0.7326,2026-08-12T23:29:29
4,refit_full_data,39,0.5104,2026-08-12T23:30:20
5,refit_full_data,80,0.3576,2026-08-12T23:31:31
6,refit_full_data,95,0.4062,2026-08-12T23:32:39
7,refit_full_data,86,0.7014,2026-08-12T23:33:49
8,refit_full_data,94,0.7326,2026-08-12T23:35:01
9,refit_full_data,95,0.7882,2026-08-12T23:36:13
